"R0000100","R0173600","R0214700","R0214800","R0263710","R0446810","R0702510","R0709400","R0709500","R0712100","R0712200","R0712300","R0712400","R0712500","R0833200","R0833400","R0840100","R0841010","R0854110","R0896711"
7775,12,3,2,-4,480,576,0,1,0,-4,-4,-4,-4,3,81,1,576,-4,1
7776,9,3,1,-4,-4,166,0,0,-4,-4,-4,-4,-4,6,81,1,166,-4,0
7777,12,3,2,-4,389,1000,0,0,-4,-4,-4,-4,-4,1,82,1,1000,733,1
7778,9,3,1,248,-4,380,0,0,-4,-4,-4,-4,-4,8,81,1,380,-4,1
7779,12,3,2,-4,-4,328,0,1,1,3,335,1,10,7,81,1,328,-4,0
7780,9,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
7781,12,3,2,-4,-4,350,1,0,-4,-4,-4,-4,-4,11,81,1,350,-4,0
7782,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7783,9,3,1,1000,2000,625,0,1,0,-4,-4,-4,-4,10,81,1,625,625,1
7784,9,3,1,611,-4,2325,1,1,0,-4,-4,-4,-4,3,82,1,2325,-4,1
7785,9,3,1,625,335,390,0,1,0,-4,-4,-4,-4,6,81,1,390,-4,1
7786,12,3,2,266,541,523,1,1,0,-4,-4,-4,-4,3,82,1,523,523,1
7787,11,1,1,380,-4,475,1,1,1,1,120000,5,2,1,82,1,475,494,1
7788,14,1,2,-4,422,325,0,1,1,4,-4,7,9,1,82,1,325,425,1
7789,14,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7790,11,1,1,289,482,406,0,1,0,-4,-4,-4,-4,2,82,1,406,500,1
7791,14,1,2,310,359,465,0,0,-4,-4,-4,-4,-4,3,81,1,465,-4,1
7792,11,1,1,325,-4,518,1,1,0,-4,-4,-4,-4,3,82,1,518,-4,1
7793,10,2,1,300,-4,900,0,1,0,-4,-4,-4,-4,1,82,1,900,1175,1
7794,13,2,2,530,562,500,0,1,0,-4,-4,-4,-4,2,81,1,500,-4,1
7795,13,2,2,-4,424,288,0,1,0,-4,-4,-4,-4,2,81,1,288,-4,1
7796,13,2,2,-4,357,225,0,0,-4,-4,-4,-4,-4,2,81,1,225,-4,1
7797,13,2,2,310,-4,-4,0,1,1,1,210,1,1,1,82,1,-4,-4,1
7798,13,2,2,370,-4,-4,0,1,0,-4,-4,-4,-4,3,81,1,-4,-4,1
7799,10,2,1,-4,-4,-4,0,1,0,-4,-4,-4,-4,11,81,1,-4,-4,1
7800,10,2,1,-4,-4,385,0,0,-4,-4,-4,-4,-4,3,81,1,385,-4,1
7801,10,2,1,387,288,477,0,1,0,-4,-4,-4,-4,5,81,1,477,410,1
7802,13,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7803,10,2,1,250,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7804,14,1,2,-4,-4,375,0,1,0,-4,-4,-4,-4,12,81,1,375,375,0
7805,11,1,1,675,627,571,1,0,-4,-4,-4,-4,-4,9,81,1,571,600,1
7806,13,2,2,-4,345,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7807,9,3,1,-4,-4,348,0,1,0,-4,-4,-4,-4,11,81,1,348,-4,0
7808,10,2,1,-4,575,192,0,1,0,-4,-4,-4,-4,2,81,1,192,-4,0
7809,13,2,2,434,495,721,1,0,-4,-4,-4,-4,-4,4,81,1,721,-4,1
7810,13,2,2,-4,-4,213,0,1,0,-4,-4,-4,-4,4,81,1,213,-4,1
7811,10,2,1,-4,-4,400,-4,-4,-4,-4,-4,-4,-4,3,81,1,400,-4,1
7812,10,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7813,13,2,2,476,590,715,0,1,0,-4,-4,-4,-4,4,81,1,715,-4,1
7814,13,2,2,500,450,-4,1,0,-4,-4,-4,-4,-4,8,81,1,-4,435,1
7815,13,2,2,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7816,10,2,1,-4,-4,-4,0,1,0,-4,-4,-4,-4,3,82,1,-4,-4,0
7817,10,2,1,500,600,865,0,1,1,2,500,1,1,2,81,1,865,-4,1
7818,13,2,2,310,465,566,0,1,1,1,70000,5,1,3,82,1,566,432,1
7819,13,2,2,475,472,421,1,1,0,-4,-4,-4,-4,3,81,1,421,-4,1
7820,13,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7821,12,3,2,-5,-5,540,0,1,1,3,365,1,1,1,81,1,540,390,1
7822,14,1,2,-4,400,468,0,1,0,-4,-4,-4,-4,7,81,1,468,-4,1
7823,14,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7824,11,1,1,562,465,722,1,0,-4,-4,-4,-4,-4,3,81,1,722,-4,1
7825,14,1,2,-4,335,439,1,1,0,-4,-4,-4,-4,3,81,0,-4,439,1
7826,13,2,2,400,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
7827,13,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7828,14,1,2,-5,-4,330,0,0,-4,-4,-4,-4,-4,11,81,1,330,287,1
7829,14,1,2,-4,444,444,0,0,-4,-4,-4,-4,-4,2,81,1,444,-4,0
7830,14,1,2,-4,315,350,0,1,0,-4,-4,-4,-4,11,81,1,350,445,0
7831,14,1,2,-4,-4,208,0,1,0,-4,-4,-4,-4,11,81,1,208,-4,-3
