case_id,sample_id,sample_race,sample_sex,offered_wage,previous_wage,acceptance_yn
7633.0,10.0,2.0,1.0,335.0,2000.0,n
7666.0,10.0,2.0,1.0,1145.0,1014.0,y
7666.0,10.0,2.0,1.0,750.0,1014.0,n
7670.0,13.0,2.0,2.0,311.0,312.0,y
7670.0,13.0,2.0,2.0,335.0,312.0,n
7889.0,9.0,3.0,1.0,425.0,700.0,y
7889.0,9.0,3.0,1.0,375.0,700.0,n
7959.0,14.0,1.0,2.0,385.0,310.0,y
7959.0,14.0,1.0,2.0,335.0,310.0,n
7990.0,14.0,1.0,2.0,437.0,348.0,y
7990.0,14.0,1.0,2.0,450.0,348.0,n
7998.0,14.0,1.0,2.0,528.0,558.0,y
7998.0,14.0,1.0,2.0,440.0,558.0,n
8074.0,10.0,2.0,1.0,500.0,558.0,y
8074.0,10.0,2.0,1.0,400.0,558.0,n
8104.0,11.0,1.0,1.0,1020.0,775.0,y
8104.0,11.0,1.0,1.0,425.0,775.0,n
8168.0,11.0,1.0,1.0,750.0,659.0,y
8168.0,11.0,1.0,1.0,510.0,659.0,n
8169.0,14.0,1.0,2.0,85.0,627.0,y
8169.0,14.0,1.0,2.0,450.0,627.0,n
8206.0,11.0,1.0,1.0,513.0,375.0,y
8206.0,11.0,1.0,1.0,300.0,375.0,n
8273.0,14.0,1.0,2.0,520.0,411.0,y
8273.0,14.0,1.0,2.0,300.0,411.0,n
8301.0,11.0,1.0,1.0,283.0,335.0,y
8301.0,11.0,1.0,1.0,335.0,335.0,n
8311.0,12.0,3.0,2.0,587.0,400.0,y
8311.0,12.0,3.0,2.0,450.0,400.0,n
8363.0,12.0,3.0,2.0,351.0,350.0,y
8363.0,12.0,3.0,2.0,320.0,350.0,n
8391.0,14.0,1.0,2.0,834.0,350.0,y
8391.0,14.0,1.0,2.0,265.0,350.0,n
8490.0,13.0,2.0,2.0,368.0,610.0,y
8490.0,13.0,2.0,2.0,295.0,610.0,n
8522.0,12.0,3.0,2.0,400.0,360.0,y
8522.0,12.0,3.0,2.0,365.0,360.0,n
8748.0,12.0,3.0,2.0,375.0,335.0,y
8748.0,12.0,3.0,2.0,200.0,335.0,n
8864.0,14.0,1.0,2.0,450.0,310.0,y
8864.0,14.0,1.0,2.0,310.0,310.0,n
8986.0,10.0,2.0,1.0,400.0,400.0,y
8986.0,10.0,2.0,1.0,385.0,400.0,n
9024.0,9.0,3.0,1.0,590.0,375.0,y
9024.0,9.0,3.0,1.0,575.0,375.0,n
9197.0,10.0,2.0,1.0,773.0,310.0,y
9197.0,10.0,2.0,1.0,435.0,310.0,n
9445.0,9.0,3.0,1.0,835.0,294.0,y
9445.0,9.0,3.0,1.0,350.0,294.0,n
9460.0,12.0,3.0,2.0,100.0,435.0,y
9460.0,12.0,3.0,2.0,650.0,435.0,n
9563.0,12.0,3.0,2.0,1057.0,666.0,y
9563.0,12.0,3.0,2.0,1000.0,666.0,n
9618.0,9.0,3.0,1.0,300.0,370.0,y
9618.0,9.0,3.0,1.0,400.0,370.0,n
9629.0,9.0,3.0,1.0,655.0,395.0,y
9629.0,9.0,3.0,1.0,340.0,395.0,n
9665.0,14.0,1.0,2.0,343.0,350.0,y
9665.0,14.0,1.0,2.0,325.0,350.0,n
9709.0,12.0,3.0,2.0,705.0,664.0,y
9709.0,12.0,3.0,2.0,186.0,664.0,n
9712.0,12.0,3.0,2.0,829.0,504.0,y
9712.0,12.0,3.0,2.0,250.0,504.0,n
9740.0,12.0,3.0,2.0,335.0,250.0,y
9740.0,12.0,3.0,2.0,335.0,250.0,n
9786.0,11.0,1.0,1.0,706.0,589.0,y
9786.0,11.0,1.0,1.0,300.0,589.0,n
9824.0,13.0,2.0,2.0,482.0,413.0,y
9824.0,13.0,2.0,2.0,335.0,413.0,n
9845.0,14.0,1.0,2.0,658.0,425.0,y
9845.0,14.0,1.0,2.0,500.0,425.0,n
9868.0,11.0,1.0,1.0,450.0,280.0,y
9868.0,11.0,1.0,1.0,365.0,280.0,n
9886.0,11.0,1.0,1.0,436.0,437.0,y
9886.0,11.0,1.0,1.0,375.0,437.0,n
9894.0,14.0,1.0,2.0,384.0,340.0,y
9894.0,14.0,1.0,2.0,335.0,340.0,n
9901.0,11.0,1.0,1.0,558.0,900.0,y
9901.0,11.0,1.0,1.0,335.0,900.0,n
9917.0,9.0,3.0,1.0,750.0,375.0,y
9917.0,9.0,3.0,1.0,350.0,375.0,n
9933.0,11.0,1.0,1.0,565.0,400.0,y
9933.0,11.0,1.0,1.0,265.0,400.0,n
10048.0,14.0,1.0,2.0,350.0,400.0,y
10048.0,14.0,1.0,2.0,350.0,400.0,n
10084.0,10.0,2.0,1.0,335.0,290.0,y
10084.0,10.0,2.0,1.0,335.0,290.0,n
10107.0,9.0,3.0,1.0,650.0,325.0,y
10107.0,9.0,3.0,1.0,600.0,325.0,n
10110.0,9.0,3.0,1.0,335.0,310.0,y
10110.0,9.0,3.0,1.0,335.0,310.0,n
10120.0,9.0,3.0,1.0,350.0,335.0,y
10120.0,9.0,3.0,1.0,365.0,335.0,n
10146.0,9.0,3.0,1.0,506.0,1200.0,y
10146.0,9.0,3.0,1.0,425.0,1200.0,n
10214.0,12.0,3.0,2.0,335.0,556.0,y
10214.0,12.0,3.0,2.0,335.0,556.0,n
10251.0,9.0,3.0,1.0,444.0,333.0,y
10251.0,9.0,3.0,1.0,310.0,333.0,n
10469.0,10.0,2.0,1.0,500.0,865.0,y
10469.0,10.0,2.0,1.0,375.0,865.0,n
10487.0,10.0,2.0,1.0,100.0,245.0,y
10487.0,10.0,2.0,1.0,350.0,245.0,n
10510.0,11.0,1.0,1.0,450.0,425.0,y
10510.0,11.0,1.0,1.0,285.0,425.0,n
10573.0,14.0,1.0,2.0,825.0,490.0,y
10573.0,14.0,1.0,2.0,335.0,490.0,n
10578.0,13.0,2.0,2.0,547.0,393.0,y
10578.0,13.0,2.0,2.0,335.0,393.0,n
10588.0,12.0,3.0,2.0,556.0,390.0,y
10588.0,12.0,3.0,2.0,335.0,390.0,n
10712.0,19.0,2.0,2.0,335.0,150.0,y
10712.0,19.0,2.0,2.0,375.0,150.0,n
10720.0,18.0,3.0,2.0,200.0,315.0,y
10720.0,18.0,3.0,2.0,200.0,315.0,n
10846.0,15.0,3.0,1.0,550.0,387.0,y
10846.0,15.0,3.0,1.0,550.0,387.0,n
10989.0,15.0,3.0,1.0,625.0,527.0,y
10989.0,15.0,3.0,1.0,400.0,527.0,n
10999.0,15.0,3.0,1.0,462.0,335.0,y
10999.0,15.0,3.0,1.0,800.0,335.0,n
11121.0,15.0,3.0,1.0,958.0,650.0,y
11121.0,15.0,3.0,1.0,620.0,650.0,n
11192.0,16.0,2.0,1.0,416.0,406.0,y
11192.0,16.0,2.0,1.0,375.0,406.0,n
11441.0,15.0,3.0,1.0,375.0,425.0,y
11441.0,15.0,3.0,1.0,415.0,425.0,n
11477.0,18.0,3.0,2.0,750.0,288.0,y
